Record ID,Record Status,Manufacturer,Manufacturer Part Number,Legacy AIPN,Legacy AIPN Old,Legacy Description,Legacy Family,Legacy Datasheet,Import Source,Source Sheet,Duplicate Source Rows,Identity Key,Source Rows,Source Data JSON
PMR-000067,Imported - Pending Verification,Würth Elektronik,64900311122,,CON-P4.20-W2B-3pin-V-1-00,CONN HEADER VERT 3POS 4.2MM,CON,https://www.we-online.com/components/products/datasheet/64900311122.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No,wurthelektronik | 64900311122,68,"[{""source_row"":68,""values"":{""AIPN"":"""",""Family"":""CON"",""Value"":""3"",""Case"":"""",""Image"":"""",""Description"":""CONN HEADER VERT 3POS 4.2MM"",""Manufacturer Name"":""Würth Elektronik"",""Manufacturer Part Number"":""64900311122"",""Lifecycle"":""Active"",""Leadtime(WKS)"":""16"",""Case2"":""THT-4.20"",""Case3"":""P4.20"",""Case Displayed as"":""P4.20"",""Param #1"":""W2B"",""Param #2"":""3pin"",""Param #3"":""V"",""Param #4"":""1"",""Rev"":""0"",""Params used"":""7"",""AIPN Occurrence"":""1"",""AIPN - OLD"":""CON-P4.20-W2B-3pin-V-1-00"",""LEN"":""25"",""Datasheet"":""https://www.we-online.com/components/products/datasheet/64900311122.pdf"",""RoHS Status"":""ROHS3 Compliant"",""Moisture Sensitivity Level (MSL)"":""Active"",""ECCN"":""EAR99"",""HTSUS"":""8536.69.4040"",""Country of Origin"":""Taiwan""}}]"
PMR-000068,Imported - Pending Verification,Würth Elektronik,638263122003,,CON-P5.08-Blade-3pin-RA-00,WR-FAST_THT MALE RIGHT ANGLED HE,CON,https://www.we-online.com/catalog/datasheet/638263122003.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No,wurthelektronik | 638263122003,69,"[{""source_row"":69,""values"":{""AIPN"":"""",""Family"":""CON"",""Value"":""3"",""Case"":"""",""Image"":"""",""Description"":""WR-FAST_THT MALE RIGHT ANGLED HE"",""Manufacturer Name"":""Würth Elektronik"",""Manufacturer Part Number"":""638263122003"",""Lifecycle"":""Active"",""Leadtime(WKS)"":""19"",""Case2"":""THT-5.08"",""Case3"":""P5.08"",""Case Displayed as"":""P5.08"",""Param #1"":""Blade"",""Param #2"":""3pin"",""Param #3"":""RA"",""Param #4"":"""",""Rev"":""0"",""Params used"":""6"",""AIPN Occurrence"":""1"",""AIPN - OLD"":""CON-P5.08-Blade-3pin-RA-00"",""LEN"":""26"",""Datasheet"":""https://www.we-online.com/catalog/datasheet/638263122003.pdf"",""RoHS Status"":""ROHS3 Compliant"",""Moisture Sensitivity Level (MSL)"":""Active"",""ECCN"":""EAR99"",""HTSUS"":""8536.90.4000"",""Country of Origin"":""Romania""}}]"
PMR-000069,Imported - Pending Verification,Wurth,638263222003,,CON-P5.08-Blade-3pin-V-00,WR-FAST_THT MALE VERTICAL HEADER,CON,https://www.we-online.com/catalog/datasheet/638263222003.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No,wurth | 638263222003,70,"[{""source_row"":70,""values"":{""AIPN"":"""",""Family"":""CON"",""Value"":""3"",""Case"":"""",""Image"":"""",""Description"":""WR-FAST_THT MALE VERTICAL HEADER"",""Manufacturer Name"":""Wurth"",""Manufacturer Part Number"":""638263222003"",""Lifecycle"":""Active"",""Leadtime(WKS)"":""19"",""Case2"":""THT-5.08"",""Case3"":""P5.08"",""Case Displayed as"":""P5.08"",""Param #1"":""Blade"",""Param #2"":""3pin"",""Param #3"":""V"",""Param #4"":"""",""Rev"":""0"",""Params used"":""6"",""AIPN Occurrence"":""1"",""AIPN - OLD"":""CON-P5.08-Blade-3pin-V-00"",""LEN"":""25"",""Datasheet"":""https://www.we-online.com/catalog/datasheet/638263222003.pdf"",""RoHS Status"":""ROHS3 Compliant"",""Moisture Sensitivity Level (MSL)"":""Active"",""ECCN"":""EAR99"",""HTSUS"":""8536.90.4000"",""Country of Origin"":""Romania""}}]"
PMR-000070,Imported - Pending Verification,Wurth,620303124022,,CON-SMD-W2B-P2.00-3pin-v-00,CONN HEADER SMD 3POS 2MM,CON,https://www.we-online.com/catalog/datasheet/620303124022.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No,wurth | 620303124022,71,"[{""source_row"":71,""values"":{""AIPN"":"""",""Family"":""CON"",""Value"":""3"",""Case"":"""",""Image"":"""",""Description"":""CONN HEADER SMD 3POS 2MM"",""Manufacturer Name"":""Wurth"",""Manufacturer Part Number"":""620303124022"",""Lifecycle"":""Active"",""Leadtime(WKS)"":""13"",""Case2"":""SMD"",""Case3"":""SMD"",""Case Displayed as"":""SMD"",""Param #1"":""W2B"",""Param #2"":""P2.00"",""Param #3"":""3pin"",""Param #4"":""v"",""Rev"":""0"",""Params used"":""7"",""AIPN Occurrence"":""1"",""AIPN - OLD"":""CON-SMD-W2B-P2.00-3pin-v-00"",""LEN"":""27"",""Datasheet"":""https://www.we-online.com/catalog/datasheet/620303124022.pdf"",""RoHS Status"":""ROHS3 Compliant"",""Moisture Sensitivity Level (MSL)"":""Active"",""ECCN"":""EAR99"",""HTSUS"":""8536.69.4040"",""Country of Origin"":""China""}}]"
PMR-000071,Imported - Pending Verification,Würth Elektronik,691210910004,,CON-P2.54-TB-4pin-Clamp-00,TERM BLOCK 4P HORIZON 2.54MM PCB,CON,https://www.we-online.com/catalog/datasheet/691210910004.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No,wurthelektronik | 691210910004,72,"[{""source_row"":72,""values"":{""AIPN"":"""",""Family"":""CON"",""Value"":""4"",""Case"":"""",""Image"":"""",""Description"":""TERM BLOCK 4P HORIZON 2.54MM PCB"",""Manufacturer Name"":""Würth Elektronik"",""Manufacturer Part Number"":""691210910004"",""Lifecycle"":""Active"",""Leadtime(WKS)"":""13"",""Case2"":""THT-2.54"",""Case3"":""P2.54"",""Case Displayed as"":""P2.54"",""Param #1"":""TB"",""Param #2"":""4pin"",""Param #3"":""Clamp"",""Param #4"":"""",""Rev"":""0"",""Params used"":""6"",""AIPN Occurrence"":""1"",""AIPN - OLD"":""CON-P2.54-TB-4pin-Clamp-00"",""LEN"":""26"",""Datasheet"":""https://www.we-online.com/catalog/datasheet/691210910004.pdf"",""RoHS Status"":""ROHS3 Compliant"",""Moisture Sensitivity Level (MSL)"":""Active"",""ECCN"":""EAR99"",""HTSUS"":""8536.90.4000"",""Country of Origin"":""China""}}]"
PMR-000072,Imported - Pending Verification,Wurth,620304124022,,CON-SMD-W2B-P2.00-4pin-v-00,CONN HEADER SMD 4POS 2MM,CON,https://www.we-online.com/catalog/datasheet/620304124022.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No,wurth | 620304124022,73,"[{""source_row"":73,""values"":{""AIPN"":"""",""Family"":""CON"",""Value"":""4"",""Case"":"""",""Image"":"""",""Description"":""CONN HEADER SMD 4POS 2MM"",""Manufacturer Name"":""Wurth"",""Manufacturer Part Number"":""620304124022"",""Lifecycle"":""Active"",""Leadtime(WKS)"":""13"",""Case2"":""SMD-2.00"",""Case3"":""SMD"",""Case Displayed as"":""SMD"",""Param #1"":""W2B"",""Param #2"":""P2.00"",""Param #3"":""4pin"",""Param #4"":""v"",""Rev"":""0"",""Params used"":""7"",""AIPN Occurrence"":""1"",""AIPN - OLD"":""CON-SMD-W2B-P2.00-4pin-v-00"",""LEN"":""27"",""Datasheet"":""https://www.we-online.com/catalog/datasheet/620304124022.pdf"",""RoHS Status"":""ROHS3 Compliant"",""Moisture Sensitivity Level (MSL)"":""Active"",""ECCN"":""EAR99"",""HTSUS"":""8536.69.4040"",""Country of Origin"":""China""}}]"
PMR-000073,Imported - Pending Verification,Wurth,614104190121,,CON-THT-USBA-4p-H-1-00,CONN RCP USB2.0 TYPEA 4POS TH RA,CON,https://www.we-online.com/catalog/datasheet/614104190121.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No,wurth | 614104190121,74,"[{""source_row"":74,""values"":{""AIPN"":"""",""Family"":""CON"",""Value"":""4"",""Case"":"""",""Image"":"""",""Description"":""CONN RCP USB2.0 TYPEA 4POS TH RA"",""Manufacturer Name"":""Wurth"",""Manufacturer Part Number"":""614104190121"",""Lifecycle"":""Active"",""Leadtime(WKS)"":""13"",""Case2"":""SMD"",""Case3"":""THT"",""Case Displayed as"":""THT"",""Param #1"":""USBA"",""Param #2"":""4p"",""Param #3"":""H"",""Param #4"":""1"",""Rev"":""0"",""Params used"":""7"",""AIPN Occurrence"":""1"",""AIPN - OLD"":""CON-THT-USBA-4p-H-1-00"",""LEN"":""22"",""Datasheet"":""https://www.we-online.com/catalog/datasheet/614104190121.pdf"",""RoHS Status"":""ROHS3 Compliant"",""Moisture Sensitivity Level (MSL)"":""Active"",""ECCN"":""EAR99"",""HTSUS"":""8536.69.4040"",""Country of Origin"":""China""}}]"
PMR-000074,Imported - Pending Verification,Würth Elektronik,61300511121,,CON-P2.54-B2B-5pin-V-1-00,CONN HEADER VERT 5POS 2.54MM,CON,https://www.we-online.com/components/products/datasheet/61300511121.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No,wurthelektronik | 61300511121,75,"[{""source_row"":75,""values"":{""AIPN"":"""",""Family"":""CON"",""Value"":""5"",""Case"":"""",""Image"":"""",""Description"":""CONN HEADER VERT 5POS 2.54MM"",""Manufacturer Name"":""Würth Elektronik"",""Manufacturer Part Number"":""61300511121"",""Lifecycle"":""Active"",""Leadtime(WKS)"":""18"",""Case2"":""THT-2.54"",""Case3"":""P2.54"",""Case Displayed as"":""P2.54"",""Param #1"":""B2B"",""Param #2"":""5pin"",""Param #3"":""V"",""Param #4"":""1"",""Rev"":""0"",""Params used"":""7"",""AIPN Occurrence"":""1"",""AIPN - OLD"":""CON-P2.54-B2B-5pin-V-1-00"",""LEN"":""25"",""Datasheet"":""https://www.we-online.com/components/products/datasheet/61300511121.pdf"",""RoHS Status"":""ROHS3 Compliant"",""Moisture Sensitivity Level (MSL)"":""Active"",""ECCN"":""EAR99"",""HTSUS"":""8536.69.4040"",""Country of Origin"":""Taiwan""}}]"
PMR-000075,Imported - Pending Verification,AMP,20021121-00006C4LF,,,CONN HEADER SMD 6POS 1.27MM,CON,https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_minitek127_btb.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No,amp | 20021121-00006c4lf,76,"[{""source_row"":76,""values"":{""AIPN"":"""",""Family"":""CON"",""Value"":""6"",""Case"":""P1.27"",""Image"":"""",""Description"":""CONN HEADER SMD 6POS 1.27MM"",""Manufacturer Name"":""AMP"",""Manufacturer Part Number"":""20021121-00006C4LF"",""Lifecycle"":""Active"",""Leadtime(WKS)"":""10"",""Case2"":"""",""Case3"":"""",""Case Displayed as"":"""",""Param #1"":"""",""Param #2"":"""",""Param #3"":"""",""Param #4"":"""",""Rev"":""0"",""Params used"":""2"",""AIPN Occurrence"":""30"",""AIPN - OLD"":"""",""LEN"":""5"",""Datasheet"":""https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_minitek127_btb.pdf"",""RoHS Status"":""ROHS3 Compliant"",""Moisture Sensitivity Level (MSL)"":""Active"",""ECCN"":""EAR99"",""HTSUS"":""8536.69.4040"",""Country of Origin"":""China""}}]"
PMR-000076,Imported - Pending Verification,Sullins Connector Solutions,NPTC061KFXC-RC,,CON-SMD-B2B-Fvert-P2.54-6pin-00,CONN HDR 6POS 0.1 TIN SMD,CON,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2900/NPxCxx1KFXx-RC%2010487-D.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No,sullinsconnectorsolutions | nptc061kfxc-rc,77,"[{""source_row"":77,""values"":{""AIPN"":"""",""Family"":""CON"",""Value"":""6"",""Case"":"""",""Image"":"""",""Description"":""CONN HDR 6POS 0.1 TIN SMD"",""Manufacturer Name"":""Sullins Connector Solutions"",""Manufacturer Part Number"":""NPTC061KFXC-RC"",""Lifecycle"":""Active"",""Leadtime(WKS)"":""11"",""Case2"":""SMD-2.54"",""Case3"":""SMD"",""Case Displayed as"":""SMD"",""Param #1"":""B2B"",""Param #2"":""Fvert"",""Param #3"":""P2.54"",""Param #4"":""6pin"",""Rev"":""0"",""Params used"":""7"",""AIPN Occurrence"":""1"",""AIPN - OLD"":""CON-SMD-B2B-Fvert-P2.54-6pin-00"",""LEN"":""31"",""Datasheet"":""https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2900/NPxCxx1KFXx-RC%2010487-D.pdf"",""RoHS Status"":""ROHS3 Compliant"",""Moisture Sensitivity Level (MSL)"":""Active"",""ECCN"":""EAR99"",""HTSUS"":""8536.69.4040"",""Country of Origin"":""Taiwan""}}]"
