Record ID,Record Status,Manufacturer,Manufacturer Part Number,Legacy AIPN,Legacy AIPN Old,Legacy Description,Legacy Family,Legacy Datasheet,Import Source,Source Sheet,Duplicate Source Rows
PMR-000056,Imported - Pending Verification,Würth Elektronik,865060453006,,CAP-SMD-150u-25v-AELE-20%-00,CAP ALUM 150UF 20% 25V SMD,CAP,https://www.we-online.com/components/products/datasheet/865060453006.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No
PMR-000057,Imported - Pending Verification,KEMET,T520D337M006ATE045,,CAP-2917-330u-6v3-Tant-20%-00,CAP TANT POLY 330UF 6.3V 2917,CAP,https://yageogroup.com/content/datasheet/asset/file/KEM_T2076_T52X-530,AIPN Parts Master.xlsx,My Lists Worksheet,No
PMR-000058,Imported - Pending Verification,Wurth,62000211622,,CON-P2.00-W2B-4Shroud-2pin-v-00,WR-WTB WIRE-TO-BOARD CONNECTORS,CON,https://www.we-online.com/catalog/datasheet/62000211622.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No
PMR-000059,Imported - Pending Verification,Würth Elektronik,61900211121,,CON-P2.54-Hdr-2pin-Vert-Lock-00,CONN HEADER VERT 2POS 2.54MM,CON,https://www.we-online.com/catalog/datasheet/61900211121.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No
PMR-000060,Imported - Pending Verification,Sullins Connector Solutions,NPTC021KFXC-RC,,CON-SMD-B2B-Fvert-P2.54-2pin-00,CONN HDR 2POS 0.1 TIN SMD,CON,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2900/NPxCxx1KFXx-RC%2010487-D.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No
PMR-000061,Imported - Pending Verification,Wurth,653102124022,,CON-SMD-W2B-P1.25-2pin-v-00,CONN HEADER SMD 2POS 1.25MM,CON,https://www.we-online.com/catalog/datasheet/653102124022.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No
PMR-000062,Imported - Pending Verification,SameSky,PJ-102AH,,CON-THP-DC_Jack-ID2.0-OD5.5-1-00,CONN PWR JACK 2X5.5MM SOLDER,CON,https://www.cuidevices.com/product/resource/pj-102ah.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No
PMR-000063,Imported - Pending Verification,JST Sales America Inc.,B3B-ZR,,CON-P1.50-W2B-4S-3pin-00,CONN HEADER VERT 3POS 1.5MM,CON,https://www.jst-mfg.com/product/pdf/eng/eZH.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No
PMR-000064,Imported - Pending Verification,Wurth,62000311622,,CON-P2.00-W2B-4Shroud-3pin-v-00,WR-WTB WIRE-TO-BOARD CONNECTORS,CON,https://www.we-online.com/catalog/datasheet/62000311622.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No
PMR-000065,Imported - Pending Verification,JST Sales America Inc.,B3B-XH-A,,CON-P2.50-W2B-4Shroud-3pin-00,CONN HEADER VERT 3POS 2.5MM,CON,https://www.jst-mfg.com/product/pdf/eng/eXH.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No
