MFG,MPN,Value,Datasheet,Footprint,Quantity,Reference,DNP,Grouping Basis,Source Rows,Source Data JSON
,,1uF,,CAPFT0402_1uF_NFM15HC105D0G3D:0402_NFM15HC105D0G3D,1,C60,No,MFG + Value + Footprint + DNP (MPN blank),105,"[{""source_row"":105,""values"":{""Reference"":""C60"",""MF"":"""",""MPN"":"""",""Value"":""1uF"",""Datasheet"":"""",""Footprint"":""CAPFT0402_1uF_NFM15HC105D0G3D:0402_NFM15HC105D0G3D"",""Qty"":""1"",""DNP"":""""}}]"
,,3.3uF,,Capacitor_SMD:C_0402_1005Metric,1,C61,No,MFG + Value + Footprint + DNP (MPN blank),104,"[{""source_row"":104,""values"":{""Reference"":""C61"",""MF"":"""",""MPN"":"""",""Value"":""3.3uF"",""Datasheet"":"""",""Footprint"":""Capacitor_SMD:C_0402_1005Metric"",""Qty"":""1"",""DNP"":""""}}]"
,,100pF,,Capacitor_SMD:C_0402_1005Metric,1,C62,Yes,MFG + Value + Footprint + DNP (MPN blank),103,"[{""source_row"":103,""values"":{""Reference"":""C62"",""MF"":"""",""MPN"":"""",""Value"":""100pF"",""Datasheet"":"""",""Footprint"":""Capacitor_SMD:C_0402_1005Metric"",""Qty"":""1"",""DNP"":""DNP""}}]"
,,39nF,,Capacitor_SMD:C_0402_1005Metric,2,"C63, C64",Yes,MFG + Value + Footprint + DNP (MPN blank),"101, 102","[{""source_row"":101,""values"":{""Reference"":""C64"",""MF"":"""",""MPN"":"""",""Value"":""39nF"",""Datasheet"":"""",""Footprint"":""Capacitor_SMD:C_0402_1005Metric"",""Qty"":""1"",""DNP"":""DNP""}},{""source_row"":102,""values"":{""Reference"":""C63"",""MF"":"""",""MPN"":"""",""Value"":""39nF"",""Datasheet"":"""",""Footprint"":""Capacitor_SMD:C_0402_1005Metric"",""Qty"":""1"",""DNP"":""DNP""}}]"
Murata,NFM15HC105D0G3D,1uF,,CAPFT0402_1uF_NFM15HC105D0G3D:0402_NFM15HC105D0G3D,1,C74,No,MFG + MPN + DNP,91,"[{""source_row"":91,""values"":{""Reference"":""C74"",""MF"":""Murata"",""MPN"":""NFM15HC105D0G3D"",""Value"":""1uF"",""Datasheet"":"""",""Footprint"":""CAPFT0402_1uF_NFM15HC105D0G3D:0402_NFM15HC105D0G3D"",""Qty"":""1"",""DNP"":""""}}]"
,,LED,,LED_SMD:LED_0201_0603Metric,1,D2,No,MFG + Value + Footprint + DNP (MPN blank),90,"[{""source_row"":90,""values"":{""Reference"":""D2"",""MF"":"""",""MPN"":"""",""Value"":""LED"",""Datasheet"":"""",""Footprint"":""LED_SMD:LED_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}}]"
Lumex,SML-LX0404SIUPGUSB,LED_ARGB,,LED_SMD:LED_Lumex_SML-LX0404SIUPGUSB,1,D3,No,MFG + MPN + DNP,29,"[{""source_row"":29,""values"":{""Reference"":""D3"",""MF"":""Lumex"",""MPN"":""SML-LX0404SIUPGUSB"",""Value"":""LED_ARGB"",""Datasheet"":"""",""Footprint"":""LED_SMD:LED_Lumex_SML-LX0404SIUPGUSB"",""Qty"":""1"",""DNP"":""""}}]"
TDK,B74111G0050M060,,https://www.tdk-electronics.tdk.com/inf/75/ds/b74111u0055m060.pdf,Diode_SMD:D_01005_0402Metric,1,D4,No,MFG + MPN + DNP,17,"[{""source_row"":17,""values"":{""Reference"":""D4"",""MF"":""TDK"",""MPN"":""B74111G0050M060"",""Value"":"""",""Datasheet"":""https://www.tdk-electronics.tdk.com/inf/75/ds/b74111u0055m060.pdf"",""Footprint"":""Diode_SMD:D_01005_0402Metric"",""Qty"":""1"",""DNP"":""""}}]"
TDK,B74111U0055M060,,https://www.tdk-electronics.tdk.com/inf/75/ds/b74111u0055m060.pdf,Diode_SMD:D_01005_0402Metric,7,"D5, D6, D7, D8, D9, D10, D11",No,MFG + MPN + DNP,"10, 11, 12, 13, 14, 15, 16","[{""source_row"":10,""values"":{""Reference"":""D11"",""MF"":""TDK"",""MPN"":""B74111U0055M060"",""Value"":"""",""Datasheet"":""https://www.tdk-electronics.tdk.com/inf/75/ds/b74111u0055m060.pdf"",""Footprint"":""Diode_SMD:D_01005_0402Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":11,""values"":{""Reference"":""D10"",""MF"":""TDK"",""MPN"":""B74111U0055M060"",""Value"":"""",""Datasheet"":""https://www.tdk-electronics.tdk.com/inf/75/ds/b74111u0055m060.pdf"",""Footprint"":""Diode_SMD:D_01005_0402Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":12,""values"":{""Reference"":""D9"",""MF"":""TDK"",""MPN"":""B74111U0055M060"",""Value"":"""",""Datasheet"":""https://www.tdk-electronics.tdk.com/inf/75/ds/b74111u0055m060.pdf"",""Footprint"":""Diode_SMD:D_01005_0402Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":13,""values"":{""Reference"":""D8"",""MF"":""TDK"",""MPN"":""B74111U0055M060"",""Value"":"""",""Datasheet"":""https://www.tdk-electronics.tdk.com/inf/75/ds/b74111u0055m060.pdf"",""Footprint"":""Diode_SMD:D_01005_0402Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":14,""values"":{""Reference"":""D7"",""MF"":""TDK"",""MPN"":""B74111U0055M060"",""Value"":"""",""Datasheet"":""https://www.tdk-electronics.tdk.com/inf/75/ds/b74111u0055m060.pdf"",""Footprint"":""Diode_SMD:D_01005_0402Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":15,""values"":{""Reference"":""D6"",""MF"":""TDK"",""MPN"":""B74111U0055M060"",""Value"":"""",""Datasheet"":""https://www.tdk-electronics.tdk.com/inf/75/ds/b74111u0055m060.pdf"",""Footprint"":""Diode_SMD:D_01005_0402Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":16,""values"":{""Reference"":""D5"",""MF"":""TDK"",""MPN"":""B74111U0055M060"",""Value"":"""",""Datasheet"":""https://www.tdk-electronics.tdk.com/inf/75/ds/b74111u0055m060.pdf"",""Footprint"":""Diode_SMD:D_01005_0402Metric"",""Qty"":""1"",""DNP"":""""}}]"
Panasonic,ERB-RD1R50X,Fuse,,Fuse:Fuse_0402_1005Metric,1,F1,No,MFG + MPN + DNP,22,"[{""source_row"":22,""values"":{""Reference"":""F1"",""MF"":""Panasonic"",""MPN"":""ERB-RD1R50X"",""Value"":""Fuse"",""Datasheet"":"""",""Footprint"":""Fuse:Fuse_0402_1005Metric"",""Qty"":""1"",""DNP"":""""}}]"
