MFG,MPN,Value,Datasheet,Footprint,Quantity,Reference,DNP
JST Corporation,SM02B-SURS-TF,SM02B-SURS-TF,,JST_2P_SM02B-SURS-TF:JST_2P_SM02B-SURS-TF,1,J7,No
Abracon,AOTA-N160808S-2R2MT,2.2uH,,Inductor_SMD:L_0603_1608Metric,1,L1,No
Wurth Electronics,744235900,WE-CNSW_1812,,CMC_744235900:CMC_744235900,1,L2,No
Taiyo Yuden,LSCNB1608HKT1R0MD,1uH,,Inductor_SMD:L_0603_1608Metric,1,L3,No
Murata,DFE18SAN1R0ME0L,1uH,,Inductor_SMD:L_0603_1608Metric,1,L4,No
Diodes,DMN2990UFO-7B,NMOS,,NMOS_DMN2990UFO:X2-DFN0604-3_DMN2990UFO,4,"Q1, Q2, Q3, Q4",No
,,100R,,Resistor_SMD:R_0201_0603Metric,11,"R1, R2, R5, R6, R7, R8, R17, R18, R26, R35, R44",No
,,4K7,,Resistor_SMD:R_0201_0603Metric,2,"R3, R4",No
,,2R2,,Resistor_SMD:R_0201_0603Metric,1,R9,No
,,10K,,Resistor_SMD:R_0201_0603Metric,3,"R10, R12, R23",No
,,15.4k,,Resistor_SMD:R_0201_0603Metric,1,R11,No
,,0.01R,,Resistor_SMD:R_0402_1005Metric,1,R13,No
,,511k,,Resistor_SMD:R_0201_0603Metric,1,R14,No
,,91k,,Resistor_SMD:R_0201_0603Metric,1,R15,No
,,1M,,Resistor_SMD:R_0201_0603Metric,1,R16,No
,,1K,,Resistor_SMD:R_0201_0603Metric,1,R19,No
,,470R,,Resistor_SMD:R_0201_0603Metric,3,"R20, R21, R22",No
,,100K,,Resistor_SMD:R_0201_0603Metric,2,"R24, R25",No
,,100K Pulse-rated,,Resistor_SMD:R_0402_1005Metric,6,"R27, R28, R29, R30, R33, R34",No
,,500M,,Resistor_SMD:R_0402_1005Metric,2,"R31, R32",No
,,2M,,Resistor_SMD:R_0402_1005Metric,1,R36,No
,,10M,,Resistor_SMD:R_0402_1005Metric,3,"R37, R38, R39",No
,,300k,,Resistor_SMD:R_0402_1005Metric,2,"R40, R41",No
,,0R,,Resistor_SMD:R_0402_1005Metric,2,"R42, R43",No
Panasonic,EVP-AVAA1A,EVP-AVAA1A,EVP-AVAA1A,SPST_RA_side_EVP-AVAA1A:SPST_RA_side_EVP-AVAA1A,1,SW1,No
Fanstel,BM20BC,BM20BC,https://static1.squarespace.com/static/561459a2e4b0b39f5cefa12e/t/6a0e281bd2e50744f9fe658a/1779312667495/BM20C+Product+Specifications.pdf,MCU_BM20BC:BM20BC,1,U1,No
Texas Instruments,TPS62840YBGR,TPS62840YBGR,,REG_ADJ_TPS62840YBGR:DSBGA8_TPS62840YBGR,1,U2,No
Texas Instruments,TPS628438YKA,TPS628438YKA,https://www.ti.com/lit/ds/symlink/tps62843.pdf,Package_BGA:Texas_DSBGA-6_0.757x1.01mm_Layout2x3_P0.35mm,1,U3,No
Texas Instruments,BQ27426YZFR,BQ27426YZFR,https://www.ti.com/lit/ds/symlink/bq27426.pdf?ts=1781766751702&ref_url=https%253A%252F%252Fwww.google.com%252F,FuelGauge_BQ27426YZFR:DSBGA9_BQ27426YZFR,1,U4,No
Texas Instruments,TPS7A2018PYCKR,TPS7A2018PYCKR,https://www.ti.com/lit/ds/symlink/tps7a20.pdf?ts=1781782453161&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252Fde-de%252FTPS7A20%252Fpart-details%252FTPS7A2050PDBVR,LDO_TPS7A2018PYCKR:DSBGA4_TPS7A2018PYCKR,1,U5,No
Texas Instruments,BQ21088YBGR,BQ21088YBGR,https://www.ti.com/lit/ds/symlink/bq21088.pdf?ts=1781705023029,BMIC_BQ21088YBGR:DSBGA8_BQ21088YBGR,1,U6,No
Texas Instruments,TPS631010YBGR,TPS631010YBGR,https://www.ti.com/lit/ds/symlink/tps631010.pdf?ts=1781705990335,REG_ADJ_TPS631010YBGR:DSBGA8_TPS631010YBGR,1,U7,No
Bosch Sensortec,BMA400,BMA400,,IMU_6AX_BMA400:LGA12_BMA400,1,U8,No
Texas Instruments,TXU0304DTRR,TXU0304DTRR,,LVL-TRANS_TXU0304DTRR:TXU0304DTRR,1,U9,No
Micro Crystal,RV-3032-C7-32.768KHZ-2.5PPM-TA-QA,RTC,,RTC_RV-3032-C7-32.768KHZ-2.5PPM-TA-QC:8-WCDFN_RV-3032-C7-32.768KHZ-2.5PPM-TA-QC,1,U10,No
Macronix,MX25R6435FZAIH0,MX25R6435FZAIH0,"https://www.macronix.com/Lists/Datasheet/Attachments/8868/MX25R6435F,%20Wide%20Range,%2064Mb,%20v1.6.pdf",MEM_NOR64_MX25R6435FZAIH0:USON8_MX25R6435FZAIH0,1,U11,No
Texas Instruments,DRV2605LYZFR,DRV2605LYZFR,https://www.snapeda.com/parts/DRV2605LYZFR/Texas%20Instruments/datasheet/,HapticDriver_DRV2605LYZFR:DSBGA9_DRV2605LYZFR,1,U12,No
Analog Devices,MAX30003CWV,MAX30003CWV,https://www.analog.com/media/en/technical-documentation/data-sheets/MAX30003.pdf,ECG_MAX30003CWV:30-WFBGA_MAX30003CWV,2,"U13, U16",No
Analog Devices,MAX40024ANL+,MAX40024ANL+,https://datasheets.maximintegrated.com/en/ds/MAX40023-MAX40024.pdf,AMP_MAX40024ANL:9-XFBGA_MAX40024ANL,2,"U14, U15",No
